fichier,label,quality,species,site,mic_id,source,clip_debut_s,fenetre_debut_dans_clip_s,fenetre_dur_s
amphibian/amphibian_00_2LA04527_20260108_183000_84s.flac,amphibian,,Hyalinobatrachium mondolfii,Mataroni,2LA04527,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04527_MGM01/Data/2LA04527_20260108_183000.wav,80.5,3.5,3.0
amphibian/amphibian_01_2LA05208_20260108_163000_30s.flac,amphibian,,Adenomera andreae,Mataroni,2LA05208,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA05208_RB09/Data/2LA05208_20260108_163000.wav,26.5,3.5,3.0
amphibian/amphibian_02_2LA05209_20260111_130000_78s.flac,amphibian,,,Mataroni,2LA05209,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA05209_GI17/Data/2LA05209_20260111_130000.wav,74.5,3.5,3.0
amphibian/amphibian_03_2LA04111_20251223_170000_78s.flac,amphibian,,Adenomera andreae; Évêque de Rothschild,CDR,2LA04111,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA04111/Data/2LA04111_20251223_170000.wav,74.5,3.5,3.0
amphibian/amphibian_04_2LA05191_20260110_150000_81s.flac,amphibian,,Adenomera andreae,Mataroni,2LA05191,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA05191_SYL28/Data/2LA05191_20260110_150000.wav,77.5,3.5,3.0
amphibian/amphibian_05_2LA04111_20251224_060000_15s.flac,amphibian,,Hyalinobatrachium cappellei; Allobates femoralis,CDR,2LA04111,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA04111/Data/2LA04111_20251224_060000.wav,11.5,3.5,3.0
amphibian/amphibian_06_2LA03542_20260108_153000_66s.flac,amphibian,,Amazophrynella teko,Mataroni,2LA03542,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03542_MGM04/Data/2LA03542_20260108_153000.wav,62.5,3.5,3.0
amphibian/amphibian_07_2MA01489_20260101_053000_30s.flac,amphibian,,Hyalinobatrachium sp.,PatawaOuest,2MA01489,Projet blanci 2025/RELEVE 2 Patawa - 30 dec 2025 -04 janv 2026/2MA01489/2MA01489_20260101_053000.wav,26.5,3.5,3.0
amphibian/amphibian_08_2LA04444_20260109_063000_6s.flac,amphibian,,Hyalinobatrachium cappellei,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,2.5,3.5,3.0
amphibian/amphibian_09_2MA01489_20260103_070000_111s.flac,amphibian,,Adenomera andreae; Évêque de Rothschild,PatawaOuest,2MA01489,Projet blanci 2025/RELEVE 2 Patawa - 30 dec 2025 -04 janv 2026/2MA01489/2MA01489_20260103_070000.wav,107.5,3.5,3.0
amphibian_contact_call/amphibian_contact_call_00_2LA03634_20260110_143000_18s.flac,amphibian_contact_call,,,Mataroni,2LA03634,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03634_MGM05/Data/2LA03634_20260110_143000.wav,14.5,3.5,3.0
amphibian_contact_call/amphibian_contact_call_01_2LA04501_20260107_080000_33s.flac,amphibian_contact_call,,Fourmilier tacheté,Mataroni,2LA04501,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04501_RB07/Data/2LA04501_20260107_080000.wav,29.5,3.5,3.0
